,Sample ID,Country,State,Latitude,Longitude,Analysis Method,CollDate,LandCover1,LandCover2,Soil/Rock Type,Depth (cm),Ag (mg/kg),Al (mg/kg),As (mg/kg),Ba (mg/kg),Be (mg/kg),Ca (mg/kg),Cd (mg/kg),Ce (mg/kg),Co (mg/kg),Cr (mg/kg),Cs(mg/kg),Cu (mg/kg),Fe (mg/kg),Ga (mg/kg),Hg (mg/kg),In (mg/kg),K (mg/kg),La (mg/kg),Li (mg/kg),Mg (mg/kg),Mn (mg/kg),Mo (mg/kg),Na (mg/kg),Nb (mg/kg),Ni (mg/kg),P (mg/kg),Pb (mg/kg),Rb (mg/kg),S (mg/kg),Sb (mg/kg),Sc (mg/kg) ,Se (mg/kg),Sn (mg/kg),Sr (mg/kg),Te (mg/kg),Th (mg/kg),Ti (mg/kg),Tl (mg/kg),U (mg/kg),V (mg/kg),W (mg/kg),Y (mg/kg),Zn (mg/kg),NOTES,LINK TO SOURCE
10,s_XN10 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,6.0,,,,0.8,,,,,,1.4,,,,0.4,,,,,,0.4,,,,0.4,,,,,,7,,,,,,49.0,,0.8,,,
11,s_XN11 [20037],ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB,,22.8,41.38,,,,,"PERIDOTITE, XENOLITH [20037]",,,,,5.61,,,,1,,,,,,1.73,,,,0.56,,,,,,0.58,,,,0.48,,,,,,11.91,,,,,,63.78,,1.33,,,
12,s_MBBP1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.4984,164.1396,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s_MBBP1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.4984,164.1396,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,s_MBBP1202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.4984,164.1396,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,s_MBBP1203  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.4984,164.1396,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s_MBBP1203  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.4984,164.1396,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,s_MBBR1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.2055,164.832,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,s_MBBR1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.2055,164.832,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,s_MBBR1202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.2055,164.832,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,s_MBBR1202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT,"BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-74.2055,164.832,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,s_MBMO1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,s_MBMO1201  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,s_MBM01202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,s_MBM01202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,s_MBM01202  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,s_MBMO1203  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s_MBMO1203  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,s_MBMO1204  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s_MBMO1204  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,s_MBMO1205  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s_MBMO1205  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,s_MBMO1206  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,s_MBMO1206  [20052],ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT OVERLORD,"TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP",-73.1409,164.6144,,,,,"PERIDOTITE, XENOLITH [20052]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,s_FRB1729 [19840],KAAPVAAL CRATON / BOTSWANA / LETLHAKHANE KIMBERLITE FIELD,,-21.52,25.69,,,,,"PERIDOTITE, SPINEL, XENOLITH [19840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,s_FRB1730 [19840],KAAPVAAL CRATON / BOTSWANA / LETLHAKHANE KIMBERLITE FIELD,,-21.52,25.69,,,,,"PERIDOTITE, SPINEL, XENOLITH [19840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,s_FRB1302 [19840],KAAPVAAL CRATON / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE,PREMIER MINE,-25.674,28.15,,,,,"PERIDOTITE, GARNET, XENOLITH [19840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,s_FRB1323 [19840],KAAPVAAL CRATON / SOUTH AFRICA / PREMIER KIMBERLITE CLUSTER / PREMIER KIMBERLITE,PREMIER MINE,-25.674,28.15,,,,,"PERIDOTITE, XENOLITH [19840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,s_SIM-1 [6373],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [6373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,s_SIM-2 [6357],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [8496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.43,,,,,,,,,26.4,,,,,
40,s_SIM-3 [6357],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"HARZBURGITE, SPINEL, XENOLITH [6357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,s_SIM-5 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,,,,,,,,,39.4,,,,,
42,s_SIM-9C [6357],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [6373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s_SIM-11 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98,,,,,,,,,27.6,,,,,
44,s_SIM-12 [6357],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [8496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,29.8,,,,,
45,s_SIM-17 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02,,,,,,,,,45.9,,,,,
46,s_SIM-20 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,8.2,,,,,
47,s_SIM-24 [6357],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"HARZBURGITE, SPINEL, XENOLITH [6357] / PERIDOTITE, SPINEL, XENOLITH [8496]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,,,,,,,,,26.8,,,,,
48,s_SIM-25 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57,,,,,,,,,19.0,,,,,
49,s_SIM-26 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,,,,,,,,,37.9,,,,,
50,s_SIM-28 [8496],CASCADES / HIGH CASCADES / WASHINGTON / SIMCOE VOLCANIC FIELD,LORENA BUTTE CINDER CONE,48,-120,,,,,"PERIDOTITE, SPINEL, XENOLITH [8496] / HARZBURGITE, XENOLITH [6356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,,,,,,,,,31.2,,,,,
51,s_R408 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,0.0,0.0,,,,1.21,,,,0.0,,,,,,0.37,,,,,,0,1912.0,,,0,391,,15.5,,,0,,0.57,,,0,105.0,,3.73,,,
52,s_R414 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,0.0,0.0,,,,1.5,,,,0.0,,,,,,0.88,,,,,,0.85,1713.0,,,0.66,187,,18.2,,,0,,0,,,0.21,105.0,,4.02,,,
53,s_R407 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,0.0,,,,1.76,,,,78.0,,,,,,0.66,,,,,,0.7,1275.0,,,0.82,1600,,21.8,,,0,,0,,,0.21,136.0,,6.15,76.0,,
54,s_R418 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,0.0,,,,1.14,,,,58.0,,,,,,0.99,,,,,,0.67,1603.0,,,0.55,1639,,18.2,,,0,,0,,,0.26,129.0,,5.25,89.0,,
55,s_R426 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,20.0,,,,1.11,,,,0.0,,,,,,0.17,,,,,,0,1415.0,,,0,622,,19.9,,,0,,0,,,0,148.0,,5.36,97.0,,
56,s_R416/43.90 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300,,,,,,,,,,,,,,,,
57,s_R416/45.90 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500,,,,,,,,,,,,,,,,
58,s_R416/39.90 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,4400,,,,,,,,,,,,,,,,
59,s_R416/47.90 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500,,,,,,,,,,,,,,,,
60,s_R426/11.80 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,33.0,,,,,,,,,,,,,864.0,,,,80,,,,,,,,,,,,,,,,
61,s_R425/30.10 [20106],BALTIC SHIELD / KARELIAN PROVINCE / CENTRAL LAPLAND GREENSTONE BELT - KITTILÄ GREENSTO / SAVUKOSKI GROUP (SATTASVAARA KOMATIITE COMPLEX),"LOMALAMPI PGE MINERALIZATION, WESTERN FINNISH LAPLAND",68,27,,,,,PERIDOTITE [20106],,,,,,,,,,,,,24.0,,,,,,,,,,,,,916.0,,,,464,,,,,,,,,,,,,,,,
62,s_88-D [3695],TONGA ARC / TONGA TRENCH,,-20.42,-173.27,,,,,PERIDOTITE [3695],,,,,6.0,,,,,130.0,3700.0,,8.0,,,,,,,,,740.0,740,740,,,,,,,,150,,,,,,61,,,28.0,,,,,
63,s_INT-14-7 [20273],TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD,,26.92,9.37,,,,,"PERIDOTITE, GARNET, XENOLITH [20273]",,,,,65.0,,,,2.72,,,0.06,,,,,,,1.21,,,,,,1.35,,,0.31,6.47,,,,,,23.2,,0.15,,,0.04,,,2.5,,,
64,s_EREM-2 [20273],TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD,,26.92,9.37,,,,,"PERIDOTITE, SPINEL, XENOLITH [20273]",,,,,33.0,,,,3.03,,,0.01,,,,,,,2.37,,,,,,0.37,,,1.2,0.17,,,,,,45.9,,0.73,,,0.23,,,2.5,,,
65,s_IL-17-4 [20273],TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD,,26.92,9.37,,,,,"PERIDOTITE, SPINEL, XENOLITH [20273]",,,,,64.0,,,,17.9,,,0.03,,,,,,,7.87,,,,,,22.4,,,0.67,1.58,,,,,,143,,9.04,,,0.23,,,3.77,,,
66,s_IL-17-5 [20273],TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD,,26.92,9.37,,,,,"PERIDOTITE, SPINEL, XENOLITH [20273]",,,,,32.0,,,,10.1,,,0.02,,,,,,,4.57,,,,,,2.8,,,0.37,0.96,,,,,,107,,0.36,,,0.07,,,2.95,,,
